~~~~~~~
Average SYN/s in last minute: ,16.17
Total SYN/m: ,1008
Average SYN/s in last minute: ,16.80
Total SYN/m: ,950
Average SYN/s in last minute: ,15.83
Total SYN/m: ,963
Average SYN/s in last minute: ,16.05
Total SYN/m: ,884
Average SYN/s in last minute: ,14.73
Total SYN/m: ,914
Average SYN/s in last minute: ,15.23
Total SYN/m: ,822
Average SYN/s in last minute: ,13.70
Total SYN/m: ,1129
Average SYN/s in last minute: ,18.82
Total SYN/m: ,941
Average SYN/s in last minute: ,15.68
Total SYN/m: ,1076
Average SYN/s in last minute: ,17.93
Total SYN/m: ,869
Average SYN/s in last minute: ,14.48
Total SYN/m: ,933
Average SYN/s in last minute: ,15.55
Total SYN/m: ,903
Average SYN/s in last minute: ,15.05
Total SYN/m: ,984
Average SYN/s in last minute: ,16.40
Total SYN/m: ,994
Average SYN/s in last minute: ,16.57
Total SYN/m: ,750
Average SYN/s in last minute: ,12.50
Total SYN/m: ,1016
Average SYN/s in last minute: ,16.93
Total SYN/m: ,931
Average SYN/s in last minute: ,15.52
Total SYN/m: ,793
Average SYN/s in last minute: ,13.22
Total SYN/m: ,1068
Average SYN/s in last minute: ,17.80
Total SYN/m: ,845
Average SYN/s in last minute: ,14.08
Total SYN/m: ,1093
Average SYN/s in last minute: ,18.22
Total SYN/m: ,947
Average SYN/s in last minute: ,15.78
Total SYN/m: ,959
Average SYN/s in last minute: ,15.98
Total SYN/m: ,985
Average SYN/s in last minute: ,16.42
Total SYN/m: ,1132
Average SYN/s in last minute: ,18.87
Total SYN/m: ,1316
Average SYN/s in last minute: ,21.93
Total SYN/m: ,1066
Average SYN/s in last minute: ,17.77
Total SYN/h: ,60847
Average SYN/s in last hour: ,16.90
Average SYN/m in last hour: ,1014.12
Total SYN/m: ,1052
Average SYN/s in last minute: ,17.53
Total SYN/m: ,1246
Average SYN/s in last minute: ,20.77
Total SYN/m: ,1009
Average SYN/s in last minute: ,16.82
Total SYN/m: ,772
Average SYN/s in last minute: ,12.87
Total SYN/m: ,789
Average SYN/s in last minute: ,13.15
Total SYN/m: ,1100
Average SYN/s in last minute: ,18.33
Total SYN/m: ,1071
Average SYN/s in last minute: ,17.85
Total SYN/m: ,734
Average SYN/s in last minute: ,12.23
Total SYN/m: ,1059
